"","x","y","color","pen down?","type"
"1","0","0.284451186","0","TRUE","candidate"
"2","1","0.18756497","0","TRUE","candidate"
"3","2","0.390650118","0","TRUE","candidate"
"4","3","0.463050941","0","TRUE","candidate"
"5","4","0.455004339","0","TRUE","candidate"
"6","5","0.712814611","0","TRUE","candidate"
"7","6","0.965368375","0","TRUE","candidate"
"8","7","0.948296973","0","TRUE","candidate"
"9","8","1.031523814","0","TRUE","candidate"
"10","9","0.882697175","0","TRUE","candidate"
"11","10","1.029109984","0","TRUE","candidate"
"12","11","0.877285078","0","TRUE","candidate"
"13","12","1.006458982","0","TRUE","candidate"
"14","13","0.689659629","0","TRUE","candidate"
"15","14","0.85288787","0","TRUE","candidate"
"16","15","0.932816101","0","TRUE","candidate"
"17","16","0.922829277","0","TRUE","candidate"
"18","17","0.869020318","0","TRUE","candidate"
"19","18","0.895509136","0","TRUE","candidate"
"20","19","0.907422365","0","TRUE","candidate"
"21","20","0.776354811","0","TRUE","candidate"
"22","21","0.738205135","0","TRUE","candidate"
"23","22","0.85872779","0","TRUE","candidate"
"24","23","0.954476818","0","TRUE","candidate"
"25","24","0.898623417","0","TRUE","candidate"
"26","25","1.128707698","0","TRUE","candidate"
"27","26","1.04594581","0","TRUE","candidate"
"28","27","1.199841385","0","TRUE","candidate"
"29","28","1.376029302","0","TRUE","candidate"
"30","29","1.635861477","0","TRUE","candidate"
"31","30","1.804209609","0","TRUE","candidate"
"32","31","1.76524376","0","TRUE","candidate"
"33","32","1.765697826","0","TRUE","candidate"
"34","33","1.986737422","0","TRUE","candidate"
"35","34","1.979749356","0","TRUE","candidate"
"36","35","1.991684043","0","TRUE","candidate"
"37","36","2.235229154","0","TRUE","candidate"
"38","37","2.309240423","0","TRUE","candidate"
"39","38","2.13269584","0","TRUE","candidate"
"40","39","2.502023837","0","TRUE","candidate"
"41","40","2.824951834","0","TRUE","candidate"
"42","41","2.717811402","0","TRUE","candidate"
"43","42","2.849947787","0","TRUE","candidate"
"44","43","3.037066455","0","TRUE","candidate"
"45","44","3.062729476","0","TRUE","candidate"
"46","45","2.976735889","0","TRUE","candidate"
"47","46","3.298109949","0","TRUE","candidate"
"48","47","3.2257153","0","TRUE","candidate"
"49","48","3.246627821","0","TRUE","candidate"
"50","49","3.284944238","0","TRUE","candidate"
"51","50","3.165311186","0","TRUE","candidate"
"52","51","3.083363472","0","TRUE","candidate"
"53","52","3.078278669","0","TRUE","candidate"
"54","53","3.146276995","0","TRUE","candidate"
"55","54","3.172119921","0","TRUE","candidate"
"56","55","3.328116162","0","TRUE","candidate"
"57","56","3.411471831","0","TRUE","candidate"
"58","57","3.756089981","0","TRUE","candidate"
"59","58","3.618246845","0","TRUE","candidate"
"60","59","3.598255479","0","TRUE","candidate"
"61","60","3.880477733","0","TRUE","candidate"
"62","61","4.196973065","0","TRUE","candidate"
"63","62","4.055211217","0","TRUE","candidate"
"64","63","4.29662169","0","TRUE","candidate"
"65","64","4.359763833","0","TRUE","candidate"
"66","65","4.553086385","0","TRUE","candidate"
"67","66","4.575990951","0","TRUE","candidate"
"68","67","4.841971063","0","TRUE","candidate"
"69","68","4.786178803","0","TRUE","candidate"
"70","69","4.973851797","0","TRUE","candidate"
"71","70","5.018684054","0","TRUE","candidate"
"72","71","4.858522509","0","TRUE","candidate"
"73","72","4.882885626","0","TRUE","candidate"
"74","73","4.929728173","0","TRUE","candidate"
"75","74","5.088089082","0","TRUE","candidate"
"76","75","5.220122419","0","TRUE","candidate"
"77","76","5.079605206","0","TRUE","candidate"
"78","77","4.991740646","0","TRUE","candidate"
"79","78","5.044029102","0","TRUE","candidate"
"80","79","5.101033193","0","TRUE","candidate"
"81","80","5.009403618","0","TRUE","candidate"
"82","81","4.844255022","0","TRUE","candidate"
"83","82","4.866185503","0","TRUE","candidate"
"84","83","5.000225352","0","TRUE","candidate"
"85","84","4.834161521","0","TRUE","candidate"
"86","85","4.905443732","0","TRUE","candidate"
"87","86","4.84899209","0","TRUE","candidate"
"88","87","4.999285879","0","TRUE","candidate"
"89","88","4.928516543","0","TRUE","candidate"
"90","89","4.715333017","0","TRUE","candidate"
"91","90","4.477519722","0","TRUE","candidate"
"92","91","4.452860582","0","TRUE","candidate"
"93","92","4.800566385","0","TRUE","candidate"
"94","93","4.723622698","0","TRUE","candidate"
"95","94","4.798818757","0","TRUE","candidate"
"96","95","4.946431682","0","TRUE","candidate"
"97","96","4.986465135","0","TRUE","candidate"
"98","97","4.915299753","0","TRUE","candidate"
"99","98","4.823261346","0","TRUE","candidate"
"100","99","4.69499588","0","TRUE","candidate"
"101","100","4.792969231","0","TRUE","candidate"
"102","101","4.806957781","0","TRUE","candidate"
"103","102","4.761000459","0","TRUE","candidate"
"104","103","4.732846528","0","TRUE","candidate"
"105","104","4.900965302","0","TRUE","candidate"
"106","105","4.959165949","0","TRUE","candidate"
"107","106","4.896942055","0","TRUE","candidate"
"108","107","5.001827882","0","TRUE","candidate"
"109","108","4.965085984","0","TRUE","candidate"
"110","109","4.999516199","0","TRUE","candidate"
"111","110","4.84505076","0","TRUE","candidate"
"112","111","4.868513965","0","TRUE","candidate"
"113","112","4.96300075","0","TRUE","candidate"
"114","113","4.972317234","0","TRUE","candidate"
"115","114","4.88632199","0","TRUE","candidate"
"116","115","4.824278557","0","TRUE","candidate"
"117","116","4.888079565","0","TRUE","candidate"
"118","117","4.896790063","0","TRUE","candidate"
"119","118","4.786663122","0","TRUE","candidate"
"120","119","4.750617056","0","TRUE","candidate"
"121","120","4.473693826","0","TRUE","candidate"
"122","121","4.579257468","0","TRUE","candidate"
"123","122","4.670863779","0","TRUE","candidate"
"124","123","4.674471953","0","TRUE","candidate"
"125","124","4.604243379","0","TRUE","candidate"
"126","125","4.497600354","0","TRUE","candidate"
"127","126","4.716648897","0","TRUE","candidate"
"128","127","4.62070241","0","TRUE","candidate"
"129","128","4.678156493","0","TRUE","candidate"
"130","129","4.623879636","0","TRUE","candidate"
"131","130","4.540735296","0","TRUE","candidate"
"132","131","4.673143974","0","TRUE","candidate"
"133","132","4.732130289","0","TRUE","candidate"
"134","133","4.691653044","0","TRUE","candidate"
