"","x","y","color","pendown","type"
"1","0","-0.120028303","15","TRUE","reds"
"2","1","0.289207152","15","TRUE","reds"
"3","2","-0.008827813","15","TRUE","reds"
"4","3","-0.112261643","15","TRUE","reds"
"5","4","0.26724305","15","TRUE","reds"
"6","5","0.031589923","15","TRUE","reds"
"7","6","-0.243661172","15","TRUE","reds"
"8","7","-0.064212073","15","TRUE","reds"
"9","8","-0.457221792","15","TRUE","reds"
"10","9","-0.747527738","15","TRUE","reds"
"11","10","-0.74279407","15","TRUE","reds"
"12","11","-0.763978734","15","TRUE","reds"
"13","12","-1.374056003","15","TRUE","reds"
"14","13","-1.090864605","15","TRUE","reds"
"15","14","-1.11973919","15","TRUE","reds"
"16","15","-1.090559032","15","TRUE","reds"
"17","16","-0.456950208","15","TRUE","reds"
"18","17","-0.86623002","15","TRUE","reds"
"19","18","-0.707688469","15","TRUE","reds"
"20","19","-0.464286672","15","TRUE","reds"
"21","20","-0.294916037","15","TRUE","reds"
"22","21","-0.172708299","15","TRUE","reds"
"23","22","0.048245203","15","TRUE","reds"
"24","23","-0.343232137","15","TRUE","reds"
"25","24","-0.238701607","15","TRUE","reds"
"26","25","-0.058020433","15","TRUE","reds"
"27","26","-0.179044406","15","TRUE","reds"
"28","27","-0.366307444","15","TRUE","reds"
"29","28","-0.443344976","15","TRUE","reds"
"30","29","-0.247756705","15","TRUE","reds"
"31","30","-0.507531099","15","TRUE","reds"
"32","31","-0.3849016","15","TRUE","reds"
"33","32","-0.253274002","15","TRUE","reds"
"34","33","-0.147716189","15","TRUE","reds"
"35","34","-0.078637131","15","TRUE","reds"
"36","35","0.032826549","15","TRUE","reds"
"37","36","0.293032049","15","TRUE","reds"
"38","37","0.37097397","15","TRUE","reds"
"39","38","0.177926804","15","TRUE","reds"
"40","39","-0.077063009","15","TRUE","reds"
"41","40","0.199767541","15","TRUE","reds"
"42","41","0.27121415","15","TRUE","reds"
"43","42","0.79916163","15","TRUE","reds"
"44","43","1.129673818","15","TRUE","reds"
"45","44","1.227368769","15","TRUE","reds"
"46","45","0.984282071","15","TRUE","reds"
"47","46","1.543790621","15","TRUE","reds"
"48","47","1.224680048","15","TRUE","reds"
"49","48","1.21071796","15","TRUE","reds"
"50","49","1.231234007","15","TRUE","reds"
"51","50","0.813486586","15","TRUE","reds"
"52","51","1.279010679","15","TRUE","reds"
"53","52","0.955271064","15","TRUE","reds"
"54","53","1.811612687","15","TRUE","reds"
"55","54","1.184250092","15","TRUE","reds"
"56","55","1.129877556","15","TRUE","reds"
"57","56","1.432125537","15","TRUE","reds"
"58","57","1.625190525","15","TRUE","reds"
"59","58","1.42205365","15","TRUE","reds"
"60","59","1.614456716","15","TRUE","reds"
"61","60","1.459855085","15","TRUE","reds"
"62","61","1.042061946","15","TRUE","reds"
"63","62","1.391684724","15","TRUE","reds"
"64","63","1.3063746","15","TRUE","reds"
"65","64","0.869874928","15","TRUE","reds"
"66","65","0.880149891","15","TRUE","reds"
"67","66","0.513866092","15","TRUE","reds"
"68","67","1.090701568","15","TRUE","reds"
"69","68","1.154177517","15","TRUE","reds"
"70","69","1.136948497","15","TRUE","reds"
"71","70","0.776732839","15","TRUE","reds"
"72","71","0.787323966","15","TRUE","reds"
"73","72","0.512174417","15","TRUE","reds"
"74","73","0.326593373","15","TRUE","reds"
"75","74","0.406326264","15","TRUE","reds"
"76","75","0.074278085","15","TRUE","reds"
"77","76","-0.120149742","15","TRUE","reds"
"78","77","-0.608234099","15","TRUE","reds"
"79","78","-0.347429977","15","TRUE","reds"
"80","79","-0.452508766","15","TRUE","reds"
"81","80","-0.429449869","15","TRUE","reds"
"82","81","-0.235272872","15","TRUE","reds"
"83","82","-0.158126373","15","TRUE","reds"
"84","83","-0.39058573","15","TRUE","reds"
"85","84","-0.510402894","15","TRUE","reds"
"86","85","-0.824797289","15","TRUE","reds"
"87","86","-0.765731918","15","TRUE","reds"
"88","87","-0.855665948","15","TRUE","reds"
"89","88","-0.604838381","15","TRUE","reds"
"90","89","-0.491529087","15","TRUE","reds"
"91","90","-0.714961671","15","TRUE","reds"
"92","91","-0.910201024","15","TRUE","reds"
"93","92","-0.447963834","15","TRUE","reds"
"94","93","-0.954849905","15","TRUE","reds"
"95","94","-0.943112093","15","TRUE","reds"
"96","95","-1.088509257","15","TRUE","reds"
"97","96","-1.069117344","15","TRUE","reds"
"98","97","-1.187929036","15","TRUE","reds"
"99","98","-1.365961282","15","TRUE","reds"
"100","99","-1.264617095","15","TRUE","reds"
"101","100","-1.307300961","15","TRUE","reds"
"102","101","-1.12249048","15","TRUE","reds"
"103","102","-1.171935471","15","TRUE","reds"
"104","103","-1.168885699","15","TRUE","reds"
"105","104","-1.191550242","15","TRUE","reds"
"106","105","-0.765544689","15","TRUE","reds"
"107","106","-0.733044065","15","TRUE","reds"
"108","107","-0.471175572","15","TRUE","reds"
"109","108","-0.343960884","15","TRUE","reds"
"110","109","-0.447376545","15","TRUE","reds"
"111","110","-0.267222323","15","TRUE","reds"
"112","111","-0.283190634","15","TRUE","reds"
"113","112","-0.030737427","15","TRUE","reds"
"114","113","-0.140280675","15","TRUE","reds"
"115","114","-0.239802618","15","TRUE","reds"
"116","115","-0.522112536","15","TRUE","reds"
"117","116","-0.252634096","15","TRUE","reds"
"118","117","0.1509172","15","TRUE","reds"
"119","118","-0.104147252","15","TRUE","reds"
"120","119","-0.205378089","15","TRUE","reds"
"121","120","-0.283445632","15","TRUE","reds"
"122","121","-0.387734687","15","TRUE","reds"
"123","122","-0.362720989","15","TRUE","reds"
"124","123","-0.15949292","15","TRUE","reds"
"125","124","-0.07545459","15","TRUE","reds"
"126","125","-0.130907355","15","TRUE","reds"
"127","126","0.024839459","15","TRUE","reds"
"128","127","-0.056624953","15","TRUE","reds"
"129","128","-0.088053237","15","TRUE","reds"
"130","129","-0.389838772","15","TRUE","reds"
"131","130","-0.445429286","15","TRUE","reds"
"132","131","-0.544309935","15","TRUE","reds"
"133","132","-0.867924012","15","TRUE","reds"
"134","133","-0.864042024","15","TRUE","reds"
"135","134","-0.562217335","15","TRUE","reds"
"136","135","-0.472362728","15","TRUE","reds"
"137","136","-0.902550156","15","TRUE","reds"
"138","137","-0.826052591","15","TRUE","reds"
"139","138","-1.161384343","15","TRUE","reds"
"140","139","-0.739588651","15","TRUE","reds"
"141","140","-0.988239837","15","TRUE","reds"
"142","141","-0.89373681","15","TRUE","reds"
"143","142","-0.877325539","15","TRUE","reds"
"144","143","-0.698090982","15","TRUE","reds"
"145","144","-0.712117162","15","TRUE","reds"
"146","145","-1.048037631","15","TRUE","reds"
"147","146","-1.062885872","15","TRUE","reds"
"148","147","-0.866461528","15","TRUE","reds"
"149","148","-0.855776138","15","TRUE","reds"
"150","149","-0.670149095","15","TRUE","reds"
"151","150","-0.469704214","15","TRUE","reds"
"152","151","-0.739097376","15","TRUE","reds"
"153","152","-0.600261814","15","TRUE","reds"
"154","153","-0.47051207","15","TRUE","reds"
"155","154","-0.390404871","15","TRUE","reds"
"156","155","-0.61101868","15","TRUE","reds"
"157","156","-0.670271741","15","TRUE","reds"
"158","157","-0.982316739","15","TRUE","reds"
"159","158","-0.758437356","15","TRUE","reds"
"160","159","-1.043860827","15","TRUE","reds"
"161","160","-1.300823258","15","TRUE","reds"
"162","161","-1.421307803","15","TRUE","reds"
"163","162","-1.379606978","15","TRUE","reds"
"164","163","-1.119196605","15","TRUE","reds"
"165","164","-0.991177385","15","TRUE","reds"
"166","165","-0.413311866","15","TRUE","reds"
"167","166","-0.544436646","15","TRUE","reds"
"168","167","0.319336818","15","TRUE","reds"
"169","168","-0.330219686","15","TRUE","reds"
"170","0","-2.151533152","135","TRUE","red.activs"
"171","1","-0.428130338","135","TRUE","red.activs"
"172","2","-3.222841428","135","TRUE","red.activs"
"173","3","-2.860220004","135","TRUE","red.activs"
"174","4","-0.905748003","135","TRUE","red.activs"
"175","5","-1.664451313","135","TRUE","red.activs"
"176","6","-1.600783671","135","TRUE","red.activs"
