"","x","y","color","pen down?","type"
"1","0","42.78846154","95","TRUE","blue.p"
"2","1","38.46153846","95","TRUE","blue.p"
"3","2","40.38461538","95","TRUE","blue.p"
"4","3","45.67307692","95","TRUE","blue.p"
"5","4","45.67307692","95","TRUE","blue.p"
"6","5","49.51923077","95","TRUE","blue.p"
"7","6","46.15384615","95","TRUE","blue.p"
"8","7","43.26923077","95","TRUE","blue.p"
"9","8","44.71153846","95","TRUE","blue.p"
"10","9","43.26923077","95","TRUE","blue.p"
"11","10","42.30769231","95","TRUE","blue.p"
"12","11","44.71153846","95","TRUE","blue.p"
"13","12","45.67307692","95","TRUE","blue.p"
"14","13","48.55769231","95","TRUE","blue.p"
"15","14","40.86538462","95","TRUE","blue.p"
"16","15","48.55769231","95","TRUE","blue.p"
"17","16","42.30769231","95","TRUE","blue.p"
"18","17","46.15384615","95","TRUE","blue.p"
"19","18","42.78846154","95","TRUE","blue.p"
"20","19","45.67307692","95","TRUE","blue.p"
"21","20","43.26923077","95","TRUE","blue.p"
"22","21","43.26923077","95","TRUE","blue.p"
"23","22","40.38461538","95","TRUE","blue.p"
"24","23","44.23076923","95","TRUE","blue.p"
"25","24","42.30769231","95","TRUE","blue.p"
"26","25","44.23076923","95","TRUE","blue.p"
"27","26","42.30769231","95","TRUE","blue.p"
"28","27","40.38461538","95","TRUE","blue.p"
"29","28","45.67307692","95","TRUE","blue.p"
"30","29","37.01923077","95","TRUE","blue.p"
"31","30","47.59615385","95","TRUE","blue.p"
"32","31","41.34615385","95","TRUE","blue.p"
"33","32","45.67307692","95","TRUE","blue.p"
"34","33","42.78846154","95","TRUE","blue.p"
"35","34","43.26923077","95","TRUE","blue.p"
"36","35","46.63461538","95","TRUE","blue.p"
"37","36","43.26923077","95","TRUE","blue.p"
"38","37","42.78846154","95","TRUE","blue.p"
"39","38","38.94230769","95","TRUE","blue.p"
"40","39","47.11538462","95","TRUE","blue.p"
"41","40","38.46153846","95","TRUE","blue.p"
"42","41","45.19230769","95","TRUE","blue.p"
"43","42","45.19230769","95","TRUE","blue.p"
"44","43","41.82692308","95","TRUE","blue.p"
"45","44","47.59615385","95","TRUE","blue.p"
"46","45","43.26923077","95","TRUE","blue.p"
"47","46","44.23076923","95","TRUE","blue.p"
"48","47","41.82692308","95","TRUE","blue.p"
"49","48","43.75","95","TRUE","blue.p"
"50","49","43.26923077","95","TRUE","blue.p"
"51","50","43.75","95","TRUE","blue.p"
"52","51","45.67307692","95","TRUE","blue.p"
"53","52","40.38461538","95","TRUE","blue.p"
"54","53","39.42307692","95","TRUE","blue.p"
"55","54","41.82692308","95","TRUE","blue.p"
"56","55","42.78846154","95","TRUE","blue.p"
"57","56","42.78846154","95","TRUE","blue.p"
"58","57","40.86538462","95","TRUE","blue.p"
"59","58","41.82692308","95","TRUE","blue.p"
"60","59","40.38461538","95","TRUE","blue.p"
"61","60","41.34615385","95","TRUE","blue.p"
"62","61","42.78846154","95","TRUE","blue.p"
"63","62","46.63461538","95","TRUE","blue.p"
"64","63","41.82692308","95","TRUE","blue.p"
"65","64","43.75","95","TRUE","blue.p"
"66","65","44.71153846","95","TRUE","blue.p"
"67","66","46.63461538","95","TRUE","blue.p"
"68","67","45.67307692","95","TRUE","blue.p"
"69","68","40.38461538","95","TRUE","blue.p"
"70","69","36.53846154","95","TRUE","blue.p"
"71","70","40.38461538","95","TRUE","blue.p"
